ValenceBand,ConductionBand,CrystalDirection,mvb,mcb,mcb_indirect,Bandgap,IndirectBandgap,ElectronAffinity,ValenceBandShape,CollisionTime,epsilonStatic,epsilonInf,NumBonds,LatticeConstant,Density,DeformationPotential,SpeedofSound,PhononFrequency,Tphonon,SellmeierForm,A,B1,C1,B2,C2,MinWavelength,MaxWavelength,Wavelength,n,kappa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.9,3.906,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.2,3.893,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.6,3.882,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.1,3.87,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.8,3.858,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.6,3.847,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.5,3.837,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.6,3.826,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.8,3.815,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.2,3.805,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.8,3.796,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.5,3.787,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.5,3.778,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.6,3.768,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.8,3.761,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.3,3.752,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,3.745,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.9,3.736,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,3.728,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.3,3.721,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.9,3.714,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.7,3.705,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.8,3.697,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.1,3.688,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.7,3.681,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.6,3.673,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,3.5361,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,3.5295,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,3.5193,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372,3.5007,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,3.4876,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532,3.4784,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,3.471,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696,3.4644,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,3.4578,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,3.449,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.3,3.4434,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,3.4424,0
